word,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
公司,0.26463866,-0.5597504,-0.6381016,0.54895246,-0.14773542,0.44697258,0.28782973,-0.23717304,0.4261413,-0.22244585,-0.51404643,-0.48836327,0.4712961,-0.63120615,-0.5815764,-0.36699873,0.5913033,-0.39438373,-0.40220806,-0.19865406,-0.35693577,-0.28924572,-0.40394837,-0.3575399,0.31362906,0.28783727,-0.4352653,0.44265527,0.4309085,0.5173151,0.21216738,0.36018038,0.26373744,-0.5527344,-0.5368507,-0.348943,-0.16372843,0.40464717,0.21750902,-0.44165802,0.3565327,0.51141244,-0.5748237,0.53928983,0.22290164,0.45253223,0.45014057,-0.51711994,0.4340495,-0.15289587,-0.43819115,0.28211743,0.23293743,-0.5770129,0.54492706,-0.36807013,-0.7125497,0.45469368,-0.19560167,-0.37982067,-0.49653006,0.65579224,0.43189847,-0.53746206,0.46008635,-0.37603515,-0.55750465,0.51715267,0.33113202,-0.21442953
公司企业,0.11123553,-0.51239073,-0.324619,0.47790635,-0.07933245,0.3998357,0.2668543,-0.0036687832,0.36727488,-0.13497542,-0.44354013,-0.22672197,0.4547431,-0.5195389,-0.34045523,-0.26158547,0.40198648,-0.31991947,-0.387132,-0.06568284,-0.38895994,-0.051755946,-0.28022033,-0.21279405,0.19939558,0.24397153,-0.23449373,0.23566361,0.27732012,0.5108303,0.10097569,0.23605615,0.12359786,-0.26910657,-0.24087599,-0.29806575,-0.16083324,0.43217742,0.118867725,-0.08081985,0.2410307,0.49335828,-0.51429355,0.43389177,0.36341113,0.31147468,0.3865322,-0.32007128,0.40089798,-0.2712723,-0.40628758,0.32651642,0.25202504,-0.41786224,0.43457198,-0.48407927,-0.41232288,0.4551538,-0.2968105,-0.24393371,-0.47274676,0.41982436,0.43064684,-0.3762512,0.34280694,-0.39552546,-0.27309203,0.39635676,0.27966762,-0.30877903
住宅区,-0.23174389,-0.40268445,-0.41664597,0.40381458,0.3136101,0.47212178,0.26008633,-0.41126534,0.4026718,-0.24669717,-0.5561219,-0.3748283,0.43494982,-0.47369087,-0.2745201,-0.4085249,0.36146915,-0.46291065,-0.39832294,0.4814732,-0.22330515,-0.39628923,-0.36536267,-0.331218,0.44600618,0.41197833,-0.265874,0.30802077,0.39309227,0.3213363,0.41578662,0.089206345,0.33642405,-0.4605808,-0.31138673,-0.28852138,-0.44228822,0.5343023,0.32143217,-0.046877474,0.4789551,0.30427292,-0.25184634,0.36080524,0.3852045,0.43187338,0.27081838,-0.21907473,0.3584674,-0.28787315,-0.3291507,0.45908397,0.3953796,-0.30764228,0.32546496,-0.3817979,-0.38612252,0.3971057,-0.29562145,-0.42665118,-0.36186087,0.16598924,0.35580146,-0.41757563,0.3278768,-0.37490213,-0.2782619,0.3150239,0.2047507,-0.30005425
休闲场所,-0.17231733,-0.19028176,-0.33799902,0.31708136,0.02063562,0.3633655,0.14921679,0.22552721,0.3216404,-0.3123171,-0.21578276,-0.06979336,0.35111415,-0.17233764,-0.250133,-0.37674022,0.19781166,-0.34462777,-0.1972152,0.2640079,-0.27942947,-0.19566166,-0.35669845,-0.31696033,0.21938993,0.4530244,-0.16894206,0.05305554,0.37338957,0.39521766,0.24655229,-0.1779707,0.28365815,-0.16668034,-0.37551647,-0.27455541,-0.20190048,0.153986,0.120486714,-0.43729758,0.35116345,0.09703295,0.12664033,0.3468739,0.2307423,0.37138358,0.33392352,0.020299971,0.08568475,-0.14340252,-0.4040557,0.2708996,0.40086377,-0.033499632,0.16179508,-0.22834429,0.21785009,0.050683748,-0.12263552,-0.13576871,-0.031155169,-0.047694884,0.32019687,-0.23796125,0.38133112,-0.4207421,-0.43994385,0.3194206,0.07461657,-0.3800658
科教文化场所,-0.012554864,-0.4959866,-0.40369654,0.50241596,-0.018164061,0.43014705,0.45023006,0.0169832,0.40788877,-0.19681758,-0.36200684,-0.14786777,0.39412355,-0.4509503,-0.27729392,-0.47203368,0.55824345,-0.34838003,-0.23785287,0.19090644,-0.45986435,-0.114788994,-0.2063021,-0.2997379,0.32964557,0.2740255,-0.33345532,0.35167006,0.36891824,0.5283699,0.2361173,-0.18600388,0.34942698,-0.3888405,-0.19045533,-0.23350036,-0.09803944,0.32262057,0.14212438,-0.20716932,0.35226464,0.31765795,-0.34045354,0.4973619,0.43133265,0.5055762,0.28255036,-0.20243524,0.24464539,-0.1669969,-0.43107814,0.14954309,0.46029168,-0.33226305,0.5145347,-0.27177656,-0.1963639,0.2819016,-0.32762998,-0.4832345,-0.31274733,0.2569173,0.3265705,-0.31322056,0.5866852,-0.4223104,-0.31449986,0.19589105,0.26948488,-0.28181458
政府及社会团体相关,0.0063500963,-0.320194,-0.39222175,0.4187214,0.3608081,0.3332964,0.13062693,-0.21739778,0.4903796,-0.07485807,-0.40212813,-0.212024,0.25046983,-0.29276866,-0.31445807,-0.318321,0.282377,-0.35263312,-0.18061411,0.1793175,-0.302301,-0.057863314,-0.267381,-0.5291336,0.34480524,0.40677744,-0.18785447,0.33967566,0.22990075,0.50025254,0.3380437,0.17329808,0.17365688,-0.5463442,-0.28807735,-0.44326144,-0.22448154,0.4025063,-0.042614944,-0.07741368,0.3816285,0.05012556,-0.31957635,0.41914216,0.23541668,0.13509119,0.13374703,-0.04732575,0.17910185,-0.3200057,-0.37509698,0.3524717,0.28228834,-0.08627844,0.18048033,-0.42739052,-0.005128875,0.25745595,-0.47185183,-0.20774859,-0.33856,0.27565017,0.22747189,-0.27168655,0.4455077,-0.16276398,-0.40178514,0.348692,0.10786201,-0.14417197
政府机关,0.020399937,-0.33331287,-0.5422006,0.349305,0.41830385,0.37136903,0.04520902,-0.3526199,0.599109,-0.096564636,-0.3733559,-0.20377307,0.45449,-0.44912726,-0.38565242,-0.39979166,0.4313206,-0.46503562,-0.3066867,0.33526117,-0.21511543,-0.17353018,-0.3398693,-0.678555,0.5333873,0.32393083,-0.2398282,0.25511268,0.41415185,0.40456587,0.3865944,0.22363314,0.3988963,-0.5848106,-0.28725642,-0.45860645,-0.11724797,0.33384112,0.23177749,-0.3217916,0.18808083,0.111655846,-0.29086474,0.29050893,0.17797402,0.45255905,-0.045605365,-0.106832564,0.27773562,-0.08558063,-0.37191725,0.35262275,0.41875714,-0.15360953,0.3502131,-0.38733047,-0.058466133,0.34651795,-0.41471326,-0.4335165,-0.20020926,0.24409336,0.35336375,-0.25062552,0.46572864,-0.05317282,-0.5243618,0.3828324,0.22937597,-0.040358882
商务住宅相关,-0.27133644,-0.25059986,-0.49236974,0.46499857,0.2972819,0.14494129,0.12634027,-0.0034740278,0.2904114,-0.029065926,-0.25577068,-0.27503884,0.32293877,-0.28136536,-0.21807703,-0.33582348,0.3746813,-0.29321206,-0.38790014,0.24860361,-0.36511445,-0.11950997,-0.31436545,-0.3948903,0.3028459,0.35766625,-0.2275324,0.266456,0.38761145,0.47342527,0.2318207,0.29865563,0.12668869,-0.43774876,-0.18113881,-0.2200806,-0.43550533,0.31076214,0.44693816,-0.027721554,0.33784947,0.30077022,-0.37284505,0.38231766,0.3059969,0.30489272,0.2658406,-0.12653446,0.14566495,-0.30334735,-0.20196083,0.3993358,0.23698038,-0.36948165,0.34265247,-0.30857074,-0.29811928,0.17886245,-0.31892177,-0.32089972,-0.42887712,0.0030419724,0.38962585,-0.08572942,0.24621505,-0.29638782,-0.38306156,0.3897122,0.25982395,-0.23835841
购物相关场所,-0.09780443,-0.360247,-0.5273764,0.4859196,-0.071575135,0.41834238,0.28820986,-0.039093696,0.33461124,-0.36705738,-0.4965469,-0.41651732,0.43546444,-0.27877307,-0.36404788,-0.41598415,0.28749233,-0.56001663,-0.48902464,0.3933888,-0.40231663,-0.22955559,-0.32694894,-0.12825897,0.50163215,0.28674015,-0.36979103,0.31839544,0.59369713,0.38575092,0.48586667,0.19144717,0.35371596,-0.11235556,-0.34196597,-0.43324792,-0.28135994,0.56187165,0.2555557,-0.19859555,0.56419706,0.50004977,-0.22866726,0.33989292,0.4852972,0.13212235,0.41067362,-0.47708806,0.37398335,-0.3337186,-0.42708933,0.33771607,0.24129704,-0.5215373,0.44603604,-0.50408137,-0.19432212,0.30929062,-0.30683494,-0.53349984,-0.35451567,0.40569842,0.44767553,-0.40496397,0.4056033,-0.53016853,-0.46812996,0.46361598,0.32543865,-0.4767658
银行,-0.3335443,-0.5077834,-0.41102183,0.39390394,0.11876607,0.32078603,0.24418852,0.3785113,0.15778798,-0.015625581,-0.39879042,-0.2633055,0.34665242,-0.17010656,-0.09449861,-0.42709637,0.4209194,-0.23330945,-0.23777276,0.10532677,-0.029553644,0.059230324,-0.17618188,-0.3172418,0.16488405,0.39227206,-0.3248526,0.42676574,0.16425642,0.32842496,0.26660702,0.16589275,0.23619342,-0.23366153,-0.47964376,-0.21546601,-0.36630526,0.3646567,0.2985465,-0.22569925,0.18942784,0.005779948,-0.32558352,0.3138069,0.36505145,0.23525006,0.16783392,-0.45761546,0.28117207,-0.0384845,-0.097095214,0.471779,-0.19083533,-0.33465546,0.3536553,-0.23942494,-0.20697814,0.18673636,-0.2593427,-0.16888835,-0.3301175,0.2641781,0.35484433,-0.10169103,0.3613749,-0.31005383,-0.35060728,0.34864283,0.33049718,0.13261767
